id,civic_centre,death_licenses,place_of_death,year,month,season
28207,NY,298,Toronto,2016,Dec,Winter
28208,SC,69,Outside City Limits,2016,Dec,Winter
28209,SC,401,Toronto,2016,Dec,Winter
28210,ET,208,Outside City Limits,2017,Jan,Winter
28211,ET,610,Toronto,2017,Jan,Winter
28212,NY,121,Outside City Limits,2017,Jan,Winter
28213,NY,381,Toronto,2017,Jan,Winter
28214,SC,134,Outside City Limits,2017,Jan,Winter
28215,SC,747,Toronto,2017,Jan,Winter
28216,ET,105,Outside City Limits,2017,Feb,Winter
28217,ET,340,Toronto,2017,Feb,Winter
28218,NY,92,Outside City Limits,2017,Feb,Winter
28219,NY,352,Toronto,2017,Feb,Winter
28220,SC,142,Outside City Limits,2017,Feb,Winter
28221,SC,524,Toronto,2017,Feb,Winter
28222,ET,133,Outside City Limits,2017,Mar,Spring
28223,ET,442,Toronto,2017,Mar,Spring
28224,NY,74,Outside City Limits,2017,Mar,Spring
28225,NY,430,Toronto,2017,Mar,Spring
28226,SC,95,Outside City Limits,2017,Mar,Spring
28227,SC,518,Toronto,2017,Mar,Spring
28228,ET,122,Outside City Limits,2017,Apr,Spring
28229,ET,370,Toronto,2017,Apr,Spring
28230,NY,25,Outside City Limits,2017,Apr,Spring
28231,NY,160,Toronto,2017,Apr,Spring
28232,SC,77,Outside City Limits,2017,Apr,Spring
28233,SC,358,Toronto,2017,Apr,Spring
28234,ET,135,Outside City Limits,2017,May,Spring
28235,ET,447,Toronto,2017,May,Spring
28236,NY,116,Outside City Limits,2017,May,Spring
28237,NY,426,Toronto,2017,May,Spring
28238,SC,89,Outside City Limits,2017,May,Spring
28239,SC,481,Toronto,2017,May,Spring
28240,ET,110,Outside City Limits,2017,Jun,Summer
28241,ET,384,Toronto,2017,Jun,Summer
28242,NY,115,Outside City Limits,2017,Jun,Summer
28243,NY,265,Toronto,2017,Jun,Summer
28244,SC,106,Outside City Limits,2017,Jun,Summer
28245,SC,373,Toronto,2017,Jun,Summer
28246,ET,133,Outside City Limits,2017,Jul,Summer
28247,ET,255,Toronto,2017,Jul,Summer
28248,NY,82,Outside City Limits,2017,Jul,Summer
28249,NY,268,Toronto,2017,Jul,Summer
28250,SC,92,Outside City Limits,2017,Jul,Summer
28251,SC,448,Toronto,2017,Jul,Summer
28252,ET,128,Outside City Limits,2017,Aug,Summer
28253,ET,348,Toronto,2017,Aug,Summer
28254,NY,82,Outside City Limits,2017,Aug,Summer
